submission_id,scenathon_id,pathway_id,pathway,country_id,country,iteration,gdp,population,diet,food_waste_share,import_share,exports,livestock_productivity,crop_productivity,agricultural_land_expansion,afforestation,ruminant_density,trade_adjustment,population_activity,climate_change,protected_areas,post_harvest_loss,biofuels,price,gwp,urbanarea,agpractice,irrarea,pathways,calibrationyear
477,16,1,CurrentTrends,40,R_SSA,4,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,Optimal,No,Middle,NoChange,NoChange,NoChange,NoChange,Average,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
469,16,3,GlobalSustainability,2,AUS,5,IGR 2023,IGR 2023,EATLancetAverage,Scenathon2020_Sustainability,I2,Stable,Scenathon2020_Sustainability,HighGrowth,NoExpansion,Scenathon2020_Sustainability,Scenathon2020_Sustainability,Yes,Middle,NoChange,Pascen_NationalCommitment_lingrowth,Scenathon2020_Sustainability,National,CurrentDollars,AR6,IGR 2023,Advanced_Farming,NoGrowth,GlobalSustainability,2020
475,16,2,NationalCommitment,56,NPL,5,SSP1,UN_constantfertility,ICMR_diet,Reduced,I4,E1,HighGrowth,LowGrowth,FreeExpansion,LowAffor,BAUGrowth,Yes,Middle,NoChange,PAExpansion25,Reduced50,NoChange,Average,AR6,SSP2,NoChange,LowGrowth,NationalCommitments,2020
429,16,2,NationalCommitment,33,DEU,5,SSP2,UN_medium,SugarRedFat15,Rapid50,I3,Redux,BAUGrowth,MiddleGrowth,NoExpansion,NoAffor,HighGrowth,Yes,Middle,NoChange,PAAichi30,Reduced,National,Average,AR6,CurrentTrend,Organic,LowGrowth,NationalCommitments,2020
436,16,2,NationalCommitment,31,NOR,4,SSP1,UN_medium,HealthyDiet,StrongReduce,I3,E3,BAUGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,No,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_medium,Mixed,LowGrowth,NationalCommitments,2020
419,16,1,CurrentTrends,57,TUR,4,SSP2,UN_medium,NoChange,Current,I1,E3,BAUGrowth,MiddleGrowth,FreeExpansion,NeutralityCountry,BAUGrowth,No,Middle,NoChange,PAExpansion,NoChange,NoChange,Average,AR6,NoChange,Mixed,LowGrowth,CurrentTrends,2020
479,16,1,CurrentTrends,5,CAN,4,SSP1,UN_high,FatDiet,Current,I2,MyExportScen,NoGrowth,ReducedGrowth,FreeExpansion,NoAffor,NoGrowth,No,Low,NoChange,NoChange,NoChange,NoChange,Custom,AR6,CurrentTrend,Organic,LowGrowth,CurrentTrends,2020
477,16,2,NationalCommitment,40,R_SSA,4,SSP1,UN_medium,FatDiet,Current,I3,E2,HighGrowth,HighGrowth,FreeExpansion,GGWgrowth,Optimal,No,Middle,NoChange,PAExpansionNat,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Diversified,HighGrowth,NationalCommitments,2020
423,16,1,CurrentTrends,3,BRA,5,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,BAUGrowth,Yes,Middle,NoChange,NoChange,NoChange,Andrade_low,Average,AR6,CurrentTrend,Diversified,NoGrowth,CurrentTrends,2020
485,16,1,CurrentTrends,8,ETH,5,country_team,UN_low,FATDiet,Reduced,I3,E3,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,BAUGrowth,Yes,Middle,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,UN_low,Diversified,LowGrowth,CurrentTrends,2020
462,16,1,CurrentTrends,44,R_NEU,4,SSP2,UN_medium,NoChange,Current,I2,MyExportScen,NoGrowth,NoGrowth,NoDefor2030,BonnChallenge,NoGrowth,No,Middle,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,NoChange,NoGrowth,CurrentTrends,2020
475,16,3,GlobalSustainability,56,NPL,5,SSP1,UN_constantfertility,EATLancetAverage,Reduced,I3,E3,HighGrowth,HighGrowth,FreeExpansion,GlobalSust,HighGrowth,Yes,Middle,NoChange,PAExpansion30,Reduced50,NoChange,Average,AR6,SSP2,NoChange,HighGrowth,GlobalSustainability,2020
436,16,3,GlobalSustainability,31,NOR,4,SSP1,UN_low,HealthyDiet,StrongReduce,I3,E3,BAUGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,No,High,NoChange,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_low,Mixed,LowGrowth,GlobalSustainability,2020
457,16,1,CurrentTrends,10,IDN,5,SSP3,Stat_IDN_ScenA,NoChange,Reduced,I4,E1,BAUGrowth,LowGrowth,FreeExpansion,BonnChallenge,NoGrowth,Yes,Middle,NoChange,NoChange,NoChange,OECD_AGLINK,CurrentDollars,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
419,16,2,NationalCommitment,57,TUR,4,SSP2,UN_medium,NatHealthyDiet,Reduced,MyImportScen,E2,BAUGrowth,MiddleGrowth,NoDefor2030,NeutralityCountry,BAUGrowth,No,Middle,NoChange,PAExpansion,Reduced,NoChange,CurrentDollars,AR6,CurrentTrend,Organic,HighGrowth,NationalCommitments,2020
479,16,2,NationalCommitment,5,CAN,4,SSP1,UN_high,EATLancetAverage,Reduced,I2,MyExportScen2,NoGrowth,NoGrowth,NoDefor2030,BonnChallenge,NoGrowth,No,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,Custom,AR6,CurrentTrend,Organic,LowGrowth,NationalCommitments,2020
429,16,3,GlobalSustainability,33,DEU,5,SSP1,UN_medium,NatHealthyDiet,Rapid50,I3,Redux,HighGrowth,HighGrowth,NoExpansion,NoAffor,BAUGrowth,Yes,Middle,NoChange,PAAichi30,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,HighGrowth,GlobalSustainability,2020
478,16,1,CurrentTrends,1,ARG,4,SSP2,UN_medium,NoChange,Current,I3,E1,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,BAUGrowth,No,Low,NoChange,NoChange,NoChange,NoChange,Average,AR6,UN_medium,NoChange,LowGrowth,CurrentTrends,2020
477,16,3,GlobalSustainability,40,R_SSA,4,SSP1,UN_momentum,MyDiet,Reduced,I3,MyExportScen,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,Optimal,No,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_momentum,Mixed,LowGrowth,GlobalSustainability,2020
423,16,2,NationalCommitment,3,BRA,5,SSP2,UN_medium,FatDiet,Reduced,I2,E2,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,NoChange,PAExpansion,NoChange,Andrade_high,Average,AR6,CurrentTrend,Diversified,HighGrowth,NationalCommitments,2020
485,16,2,NationalCommitment,8,ETH,5,country_team,UN_low,FATDiet,Reduced,I3,E1,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,NoChange,CurrentDollars,AR6,CurrentTrend,Diversified,HighGrowth,NationalCommitments,2020
470,16,1,CurrentTrends,41,R_ASP,5,SSP1,UN_low,CurrentTrend,Increased,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,NoAffor,HighGrowth,Yes,Middle,NoChange,NoChange,NoChange,OECD_AGLINK,Average,AR6,CurrentTrend,Organic,NoGrowth,CurrentTrends,2020
457,16,2,NationalCommitment,10,IDN,5,SSP2,Stat_IDN_ScenB,NoChange,Reduced,I4,E1,HighGrowth,HighGrowth,NoDefor2030,LTS_CritOnly,BAUGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,CurrentDollars,AR6,CurrentTrend,Mixed,LowGrowth,NationalCommitments,2020
462,16,2,NationalCommitment,44,R_NEU,4,SSP2,UN_medium,MyDiet,Reduced,I2,MyExportScen,BAUGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,NoGrowth,No,Middle,NoChange,NoChange,NoChange,NoChange,Average,AR6,NoChange,NoChange,NoGrowth,NationalCommitments,2020
433,16,1,CurrentTrends,9,IND,4,SSP2,UN_constantfertility,NatCurrentDiet,Current,I2,E3,BAUGrowth,NoGrowth,FreeExpansion,NoAffor,BAUGrowth,No,Middle,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
419,16,3,GlobalSustainability,57,TUR,4,SSP3,UN_medium,NatHealthyDiet,Reduced,I3,MyExportScen,BAUGrowth,MiddleGrowth,NoDefor2030,NeutralityCountry,BAUGrowth,No,High,NoChange,PAExpansion,Reduced,OECD_AGLINK,Custom,AR6,UN_medium,Mixed,HighGrowth,GlobalSustainability,2020
419,16,1,CurrentTrends,57,TUR,5,SSP2,UN_medium,NoChange,Current,I1,E3,BAUGrowth,MiddleGrowth,FreeExpansion,NeutralityCountry,BAUGrowth,Yes,Middle,NoChange,PAExpansion,NoChange,NoChange,Average,AR6,NoChange,Mixed,LowGrowth,CurrentTrends,2020
479,16,3,GlobalSustainability,5,CAN,4,SSP1,UN_high,EATLancetAverage,MyFoodLossScen,I2,MyExportScen3,LowGrowth,HighGrowth,NoDefor2030,BonnChallenge+,NoGrowth,No,Middle,NoChange,PAExpansion2,MyPHLossScen,OECD_AGLINK,Custom,AR6,CurrentTrend,Organic,HighGrowth,GlobalSustainability,2020
478,16,2,NationalCommitment,1,ARG,4,SSP2,UN_medium,HealthyDiet,Current,I3,E3,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge+,HighGrowth,No,Middle,NoChange,PAExpansion,NoChange,NoChange,Average,AR6,UN_medium,Reduce_till,LowGrowth,NationalCommitments,2020
423,16,3,GlobalSustainability,3,BRA,5,SSP2,UN_low,EATLancetAverage,Reduced,I2,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge+,HighGrowth,Yes,High,NoChange,PAExpansion,Reduced,Andrade_high,Average,AR6,CurrentTrend,Diversified,HighGrowth,GlobalSustainability,2020
485,16,3,GlobalSustainability,8,ETH,5,country_team,SSP1,FATDiet,Reduced,I2,E1,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,NoChange,CurrentDollars,AR6,CurrentTrend,Diversified,HighGrowth,GlobalSustainability,2020
470,16,2,NationalCommitment,41,R_ASP,5,SSP1,UN_low,NationalCom,Reduced,I2,E2,HighGrowth,HighGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,LowGrowth,NationalCommitments,2020
457,16,3,GlobalSustainability,10,IDN,5,SSP1,UN_medium,NoChange,Reduced,I4,E1,HighGrowth,HighGrowth,NoDefor2030,LTS_Affor,HighGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,CurrentDollars,AR6,NoChange,Mixed,HighGrowth,GlobalSustainability,2020
419,16,2,NationalCommitment,57,TUR,5,SSP2,UN_medium,NatHealthyDiet,Reduced,MyImportScen,E2,BAUGrowth,MiddleGrowth,NoDefor2030,NeutralityCountry,BAUGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,NoChange,CurrentDollars,AR6,CurrentTrend,Organic,HighGrowth,NationalCommitments,2020
462,16,3,GlobalSustainability,44,R_NEU,4,SSP2,UN_medium,EATLancetAverage,Reduced,I1,MyExportScen,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,HighGrowth,No,Middle,NoChange,PAExpansion,Reduced,NoChange,Average,AR6,NoChange,Mixed,NoGrowth,GlobalSustainability,2020
433,16,2,NationalCommitment,9,IND,4,SSP1,UN_low,ICMR_NIN,Reduced,I3,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,BAUGrowth,No,Middle,NoChange,NoChange,Reduced,NoChange,CurrentDollars,AR6,UN_low,NoChange,NoGrowth,NationalCommitments,2020
478,16,3,GlobalSustainability,1,ARG,4,SSP2,UN_medium,HealthyDiet,Reduced,I1,E1,HighGrowth,HighGrowth,NoExpansion,BonnChallenge,HighGrowth,No,Middle,NoChange,PAExpansion,Reduced,NoChange,Average,AR6,NoChange,Mixed,LowGrowth,GlobalSustainability,2020
480,16,1,CurrentTrends,7,COL,5,SSP1,UN_medium,NatCurrentDiet,Current,I1,E3,BAUGrowth,LowGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Low,NoChange,NoChange,NoChange,National,Custom,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
483,16,1,CurrentTrends,58,GRC,5,SSP2,UN_nochange,NoChange,Current,I2,E3,BAUGrowth,NoGrowth,NoDefor2030,NoAffor,BAUGrowth,Yes,Middle,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,Diversified,NoGrowth,CurrentTrends,2020
433,16,3,GlobalSustainability,9,IND,4,SSP1,UN_medium,EATLancetAverage,Reduced,I3,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,BAUGrowth,No,Middle,NoChange,NoChange,Reduced,NoChange,CurrentDollars,AR6,UN_medium,NoChange,NoGrowth,GlobalSustainability,2020
470,16,3,GlobalSustainability,41,R_ASP,5,SSP2,UN_low,Sustainable,Reduced,I2,E1,HighGrowth,HighGrowth,NoDefor2030,Sustainable,LowGrowth,Yes,Middle,NoChange,PAExpansion+,Reduced,OECD_AGLINK,Average,AR6,UN_low,Mixed+,LowGrowth,GlobalSustainability,2020
452,16,1,CurrentTrends,21,R_OEU,5,SSP2,UN_medium,NoChange,Current,I2,E3,NoGrowth,NoGrowth,NoExpansion,BonnChallenge,NoGrowth,Yes,Middle,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,NoChange,NoGrowth,CurrentTrends,2020
419,16,3,GlobalSustainability,57,TUR,5,SSP3,UN_medium,NatHealthyDiet,Reduced,I3,MyExportScen,BAUGrowth,MiddleGrowth,NoDefor2030,NeutralityCountry,BAUGrowth,Yes,High,NoChange,PAExpansion,Reduced,OECD_AGLINK,Custom,AR6,UN_medium,Mixed,HighGrowth,GlobalSustainability,2020
470,16,1,CurrentTrends,41,R_ASP,4,SSP1,UN_low,CurrentTrend,Increased,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,NoAffor,HighGrowth,No,Middle,NoChange,NoChange,NoChange,OECD_AGLINK,Average,AR6,CurrentTrend,Organic,NoGrowth,CurrentTrends,2020
480,16,1,CurrentTrends,7,COL,4,SSP1,UN_medium,NatCurrentDiet,Current,I1,E3,BAUGrowth,LowGrowth,FreeExpansion,BonnChallenge,BAUGrowth,No,Low,NoChange,NoChange,NoChange,National,Custom,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
481,16,1,CurrentTrends,43,R_CSA,4,SSP3,UN_low,FatDiet,Current,I1,E3,HighGrowth,HighGrowth,FreeExpansion,NoAffor,HighGrowth,No,Middle,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,Mixed,LowGrowth,CurrentTrends,2020
482,16,1,CurrentTrends,14,RUS,4,SSP3,UN_medium,NoChange,Current,I3,E1,NoGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,No,Low,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,Mixed,LowGrowth,CurrentTrends,2020
469,16,1,CurrentTrends,2,AUS,5,IGR 2023,IGR 2023,Nochange,Scenathon2020_CurrentTrends,I2,Stable,Scenathon2020_CurrentTrends,LowGrowth,NoExpansion,Scenathon2020_CurrentTrends,Scenathon2020_CurrentTrends,Yes,Low,NoChange,NoChange,Scenathon2020_CurrentTrends,National,CurrentDollars,AR6,CurrentTrend,Advanced_Farming,NoGrowth,CurrentTrends,2020
480,16,2,NationalCommitment,7,COL,5,SSP2,UN_medium,NatCurrentDiet,Reduced,I2,E2,LowGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,National,Custom,AR6,UN_medium,Diversified,NoGrowth,NationalCommitments,2020
483,16,2,NationalCommitment,58,GRC,5,SSP1,UN_medium,EATLancetAverage,Reduced,I3,E2,HighGrowth,HighGrowth,NoDefor2030,NoAffor,BAUGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,CurrentDollars,AR6,NoChange,Organic,NoGrowth,NationalCommitments,2020
468,16,1,CurrentTrends,55,DNK,5,SSP3,UN_medium,NoChange,MyFoodLossScen,I3,E3,BAUGrowth,LowGrowth,NoExpansion,Affor1,NoGrowth,Yes,Middle,NoChange,PAExpansion,NoChange,OECD_AGLINK,Average,AR6,UN_medium,Mixed,NoGrowth,CurrentTrends,2020
452,16,2,NationalCommitment,21,R_OEU,5,SSP2,UN_medium,MyDiet,MyFoodLossScen,MyImportScen,MyExportScen,BAUGrowth,MiddleGrowth,NoDefor2030,NoAffor,BAUGrowth,Yes,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,NoGrowth,NationalCommitments,2020
468,16,1,CurrentTrends,55,DNK,4,SSP3,UN_medium,NoChange,MyFoodLossScen,I3,E3,BAUGrowth,LowGrowth,NoExpansion,Affor1,NoGrowth,No,Middle,NoChange,PAExpansion,NoChange,OECD_AGLINK,Average,AR6,UN_medium,Mixed,NoGrowth,CurrentTrends,2020
470,16,2,NationalCommitment,41,R_ASP,4,SSP1,UN_low,NationalCom,Reduced,I2,E2,HighGrowth,HighGrowth,FreeExpansion,BonnChallenge,BAUGrowth,No,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,LowGrowth,NationalCommitments,2020
480,16,2,NationalCommitment,7,COL,4,SSP2,UN_medium,NatCurrentDiet,Reduced,I2,E2,LowGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,No,Middle,NoChange,PAExpansion,Reduced,National,Custom,AR6,UN_medium,Diversified,NoGrowth,NationalCommitments,2020
481,16,2,NationalCommitment,43,R_CSA,4,SSP3,UN_low,FatDiet,Reduced,I2,E2,HighGrowth,HighGrowth,NoExpansion,BonnChallenge,HighGrowth,No,Middle,NoChange,PAExpansion,Reduced,OECD_AGLINK,CurrentDollars,AR6,NoChange,Mixed,NoGrowth,NationalCommitments,2020
482,16,2,NationalCommitment,14,RUS,4,SSP3,UN_high,NoChange,Current,I3,E1,LowGrowth,LowGrowth,FreeExpansion,NoAffor,NoGrowth,No,Low,NoChange,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,Mixed,HighGrowth,NationalCommitments,2020
